Unnamed: 0,book_id,cover_image_uri,book_title,book_details,format,publication_info,authorlink,author,num_pages,genres,num_ratings,num_reviews,average_rating,rating_distribution,genre_rank
6443,366888,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1570049208i/366888.jpg,The White Steamship,"Deserted by his parents, a young boy finds himself alone in the often grotesque world or relatives who do not want to raise him. As daily events become more and more intolerable, the boy clings to the legends and religious traditions of the area for relief. When a hunting party forces his grandfather to kill the Horned Mother Deer that the boy believes sacred, the boy, filled with horror and disgust, commits an act he thinks will lead him to the love and affection he so desperately needs.","['188 pages, Hardcover']","['First published January 1, 1957']",https://www.goodreads.com/author/show/209681.Chingiz_Aitmatov,Chingiz Aitmatov,['188'],"Literature, Novels, Classics, Fiction, Other",6209,374,4.12,"{'5': '2,492', '4': '2,339', '3': '1,078', '2': '230', '1': '70'}",435
16082,112973743,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1676251402i/112973743.jpg,The Stars Don't Lie,"A man who thought he put his shattered past behind him embarks on a reflective journey home in a heartfelt novel by the bestselling author of The Singing Trees and A Spanish Sunrise.Haunted by a tragic decision he made twenty years ago, veterinarian Dr. Carver Livingston has not once returned to his Vermont hometown. Now his parents’ impending divorce and his mother’s plea for support lure Carver to a reluctant homecoming. His sweep into Teterbury, save a marriage, and get out before anyone else from his past knows he was even there. Fate has other plans.It’s hard to hide from former friends. Harder still to fight old feelings for the crushing and beautiful high school soulmate whom he dreams of pursuing again. And Mrs. Cartwright, his fragile English teacher, who once pulled Carver out of sadness. She taught him to always look up and to see life’s grander perspective in the stars. Now it’s Carver’s turn to help Mrs. Cartwright find those bright lights in the dark.Against his need to leave, Carver decides to stay longer, as he, his mother and father, and Mrs. Cartwright are all at turning points in their lives. Hope is not lost. If they look up, they’ll see that tonight, the stars still shine.","['347 pages, Kindle Edition']","['First published August 22, 2023']",https://www.goodreads.com/author/show/5322167.Boo_Walker,Boo Walker,['347'],"Novels, Contemporary, Adventure, Young Adult, Fiction, Other",10844,487,4.16,"{'5': '4,947', '4': '3,492', '3': '1,757', '2': '487', '1': '161'}",435
13475,19090384,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385939257i/19090384.jpg,Clean Sweep,"On the outside, Dina Demille is the epitome of normal. She runs a quaint Victorian Bed and Breakfast in a small Texas town, owns a Shih Tzu named Beast, and is a perfect neighbor, whose biggest problem should be what to serve her guests for breakfast. But Dina is...different: Her broom is a deadly weapon; her Inn is magic and thinks for itself. Meant to be a lodging for otherworldly visitors, the only permanent guest is a retired Galactic aristocrat who can’t leave the grounds because she’s responsible for the deaths of millions and someone might shoot her on sight. Under the circumstances, ""normal"" is a bit of a stretch for Dina.And now, something with wicked claws and deepwater teeth has begun to hunt at night....Feeling responsible for her neighbors, Dina decides to get involved. Before long, she has to juggle dealing with the annoyingly attractive, ex-military, new neighbor, Sean Evans—an alpha-strain werewolf—and the equally arresting cosmic vampire soldier, Arland, while trying to keep her inn and its guests safe. But the enemy she’s facing is unlike anything she’s ever encountered. It’s smart, vicious, and lethal, and putting herself between this creature and her neighbors might just cost her everything.","['225 pages, ebook']","['First published December 2, 2013']",https://www.goodreads.com/author/show/21748.Ilona_Andrews,Ilona Andrews,['225'],"Paranormal, Science Fiction, Romance, Fantasy, Other",55984,4503,4.16,"{'5': '23,753', '4': '20,716', '3': '9,008', '2': '1,627', '1': '880'}",435
5483,215539,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661016064i/215539.jpg,The Pilgrims of Rayne,"When Bobby Pendragon first arrives on the tropical world of Ibara, he finds paradise. There is beauty all around and the people of Ibara are blissfully happy. It's not long before Bobby discovers, however, that they are also blissfully...oblivious.The leaders of Ibara are keeping a devastating secret from their people, one that gives Saint Dane all the opportunity he needs to launch his final assault on Halla.While Bobby struggles to learn the truth in time to thwart Saint Dane, Courtney Chetwynde desperately searches for Mark Diamond. On the heels of a shocking tragedy, Mark has disappeared. Worse, he seems to be under Saint Dane's influence. It's up to Courtney to find Mark and stop him from making a grave mistake that could change the future of all existence.","['560 pages, Hardcover']","['First published May 1, 2007']",https://www.goodreads.com/author/show/74046.D_J_MacHale,D.J. MacHale,['560'],"Science Fiction, Childrens, Adventure, Young Adult, Fantasy, Fiction, Other",25499,368,4.16,"{'5': '11,311', '4': '8,384', '3': '4,564', '2': '949', '1': '291'}",435
15738,58658940,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1634068536i/58658940.jpg,The Final Gambit,"Avery’s fortune, life, and loves are on the line in the game that everyone will be talking about.To inherit billions, all Avery Kylie Grambs has to do is survive a few more weeks living in Hawthorne House. The paparazzi are dogging her every step. Financial pressures are building. Danger is a fact of life. And the only thing getting Avery through it all is the Hawthorne brothers. Her life is intertwined with theirs. She knows their secrets and they know her. But as the clock ticks down to the moment when Avery will become the richest teenager on the planet, trouble arrives in the form of a visitor who needs her help—and whose presence in Hawthorne House could change everything. It soon becomes clear that there is one last puzzle to solve, and Avery and the Hawthorne brothers are drawn into a dangerous game against an unknown and powerful player.","['400 pages, ebook']","['First published August 30, 2022']",https://www.goodreads.com/author/show/164187.Jennifer_Lynn_Barnes,Jennifer Lynn Barnes,['400'],"Thriller, Mystery, Contemporary, Young Adult, Romance, Fiction, Other",301042,34105,4.13,"{'5': '115,137', '4': '122,892', '3': '52,293', '2': '8,861', '1': '1,859'}",435
9879,3227063,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1672601160i/3227063.jpg,The Way of Shadows,"From New York Times Bestselling author Brent Weeks... For Durzo Blint, assassination is an art-and he is the city's most accomplished artist. For Azoth, survival is precarious. Something you never take for granted. As a guild rat, he's grown up in the slums, and learned to judge people quickly - and to take risks. Risks like apprenticing himself to Durzo Blint.But to be accepted, Azoth must turn his back on his old life and embrace a new identity and name. As Kylar Stern, he must learn to navigate the assassins' world of dangerous politics and strange magics - and cultivate a flair for death.","['645 pages, Mass Market Paperback']","['First published October 1, 2008']",https://www.goodreads.com/author/show/1370283.Brent_Weeks,Brent Weeks,['645'],"Adult, Adventure, Fantasy, Fiction, Other",168731,6032,4.15,"{'5': '74,266', '4': '58,560', '3': '25,578', '2': '7,158', '1': '3,169'}",436
11954,9923510,https://dryofg8nmyqjw.cloudfront.net/images/no-cover.png,El enamorado de la Osa Mayor,"Confine russo polacco intorno agli anni 1926-30. Un interregno pericoloso, terra di nessuno dove solamente uomini coraggiosi dediti all’avventura, come banditi e contrabbandieri, che conoscono ogni segreto di questo mondo, ogni insidia, e sono pronti a difendere con le armi i loro preziosi carichi, osano avventurarsi. Le tenebre della legge contro la luce emanata dall’anima delle stelle dell’Orsa Maggiore che, in una complice solidarietà, ne proteggono e ne guidano il rischioso cammino, sono i temi portanti di questa meravigliosa avventura. Ma cosa si agita davvero nella mente e nell’animo di quegli uomini inquieti? Cosa li spinge a vivere sempre come lupi braccati? Il fascino di una continua avventura, avidità di guadagno, ma sopratutto l’orgogliosa consapevolezza di una libertà morale duramente conquistata.",['512 pages'],"['First published January 1, 1937']",https://www.goodreads.com/author/show/1200655.Sergiusz_Piasecki,Sergiusz Piasecki,[None],"Adventure, Classics, Fiction, Other",645,52,4.24,"{'5': '297', '4': '234', '3': '93', '2': '17', '1': '4'}",436
746,8073,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439779831i/8073.jpg,Cloudy With a Chance of Meatballs,"An imaginative story of amazing food weather that inspired the hit movie, Cloudy with a Chance of Meatballs is a favorite of grown-ups and children everywhere.The tiny town of Chewandswallow was very much like any other tiny town—except for its weather which came three times a day, at breakfast, lunch, and dinner.But it never rained rain and it never snowed snow and it never blew just wind. It rained things like soup and juice. It snowed things like mashed potatoes. And sometimes the wind blew in storms of hamburgers.Life for the townspeople was delicious until the weather took a turn for the worse. The food got larger and larger and so did the portions. Chewandswallow was plagued by damaging floods and storms of huge food. The town was a mess and the people feared for their lives.Something had to be done, and in a hurry.Edition MSRP: $7⁹⁹ U.S. / $9⁹⁹ CAN (978-0-689-70749-0)","['32 pages, Paperback']","['First published August 1, 1978']",https://www.goodreads.com/author/show/5336.Judi_Barrett,Judi Barrett,['32'],"Childrens, Classics, Fantasy, Fiction, Other",140016,2462,4.18,"{'5': '68,770', '4': '38,495', '3': '24,364', '2': '5,941', '1': '2,446'}",436
7116,547448,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320495997i/547448.jpg,In the Cities of Coin and Spice,"Catherynne M. Valente enchanted readers with her spellbinding In the Night Garden. Now she continues to weave her storytelling magic in the next book of Orphan’s Tales—an epic of the fantastic and the exotic, the monstrous and mysterious, that will transport you far away from the everyday. . . .Her name and origins are unknown, but the endless tales inked upon this orphan’s eyelids weave a spell over all who listen to her read her secret history. And who can resist the stories she tells? From the Lake of the Dead and the City of Marrow to the artists who remain behind in a ghost city of spice, here are stories of hedgehog warriors and winged skeletons, loyal leopards and sparrow calligraphers. Nothing is too fantastic, anything can happen, but you’ll never guess what comes next in these intimately linked adventures of firebirds and djinn, singing manticores, mutilated unicorns, and women made entirely of glass and gears. Graced with the magical illustrations of Michael Kaluta, In the Cities of Coins and Spice is a book of dreams and wonders unlike any you’ve ever encountered. Open it anywhere and you will fall under its spell. For here the story never ends and the magic is only beginning. . . .","['516 pages, Paperback']","['First published January 1, 2007']",https://www.goodreads.com/author/show/338705.Catherynne_M_Valente,Catherynne M. Valente,['516'],"Fantasy, Fiction, Other",2915,307,4.39,"{'5': '1,666', '4': '844', '3': '305', '2': '72', '1': '28'}",436
6531,383206,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348267609i/383206.jpg,Wives and Daughters,"Wives and Daughters is a novel by Elizabeth Gaskell, first published in the Cornhill Magazine as a serial from August 1864 to January 1866. It was partly written whilst Gaskell was staying with the salon hostess Mary Elizabeth Mohl at her home on the Rue de Bac in Paris. When Mrs Gaskell died suddenly in 1865, it was not quite complete, and the last section was written by Frederick Greenwood.","['679 pages, Paperback']","['First published January 1, 1866']",https://www.goodreads.com/author/show/1413437.Elizabeth_Gaskell,Elizabeth Gaskell,['679'],"Literature, Historical Fiction, Classics, Romance, Fiction, Other",48482,3120,4.12,"{'5': '19,628', '4': '18,218', '3': '8,241', '2': '1,676', '1': '719'}",436
14038,25712564,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1434081053i/25712564.jpg,Moonbreeze,"The life of a star-studded royal has not been kind to eighteen year-old Elena Watkins. With a Council breathing down her neck and a dragon that refuses to accept her as her rider, she must convince everyone that she is ready to rule Paegeia like her parents before her. But she has made a promise to her father King Albert, that she will not go looking for him and free the people of Etan. Elena has promised to never truly fulfil her destiny.However, situations out of her control will soon force her to confront herself and the evil that seeks to destroy her. Elena must look inside herself to discover if she can defeat the approaching darkness, be accepted by the people of Paegeia, bring her dragon back to light and fulfill the destiny written in their stars. ","['734 pages, ebook']","['First published October 15, 2015']",https://www.goodreads.com/author/show/7219081.Adrienne_Woods,Adrienne Woods,['734'],"Paranormal, Young Adult, Romance, Fantasy, Other",4916,268,4.16,"{'5': '2,352', '4': '1,460', '3': '760', '2': '234', '1': '110'}",436
5486,215541,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661032014i/215541.jpg,The Reality Bug,"Alternate cover for this ISBN can be found hereVIRTUAL REALITY?The territory of Veelox has achieved perfect harmony. Fifteen-year-old Bobby Pendragon arrives on this territory in pursuit of the evil Saint Dane, but all is peaceful on Veelox - because it's deserted. The inhabitants have discovered a way to enter their own personal dream worlds, where they can be whomever they want, wherever they want. Their bodies lie in stasis while their minds escape to this dream realm.Fresh from his battle with Saint Dane in 1937 Earth, Bobby is confident that they can defeat whatever Saint Dane has planned for this world. But once Bobby enters the virtual world, will he be able to resist the lure of the ultimate in escapism?","['375 pages, Paperback']","['First published September 1, 2003']",https://www.goodreads.com/author/show/74046.D_J_MacHale,D.J. MacHale,['375'],"Science Fiction, Childrens, Adventure, Young Adult, Fantasy, Fiction, Other",24177,514,4.16,"{'5': '10,427', '4': '8,331', '3': '4,470', '2': '765', '1': '184'}",436
16029,64415236,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1670432306i/64415236.jpg,Quantum Radio,"At CERN, a scientist has just made an incredible discovery – a breakthrough that may answer the deepest questions about human existence. But what he's found is far more dangerous than he ever imagined. Dr. Tyson Klein is a quantum physicist who has dedicated his entire life to his research. At CERN, he analyses data generated by the Large Hadron Collider, the world's biggest and most powerful particle accelerator. Now, Ty believes he's found a pattern in its output. It looks like an organised data stream, being broadcast over what he calls a quantum radio. Could it be a signal from another universe? A message sent from the future? Or something else entirely? As Ty peels back the layers of his discovery, he learns that what he's found isn't what he thought it was. The encoded message is far more profound. It may alter our understanding of human existence and the universe. But Ty is not the only one looking for it. Someone has been following his research for a long time. And they'll do anything to prevent him from unravelling what is being broadcast by the quantum radio...Because the first one to discover the truth may well control the future.","['562 pages, Kindle Edition']","['First published March 2, 2023']",https://www.goodreads.com/author/show/3087199.A_G_Riddle,A.G. Riddle,['562'],"Thriller, Science Fiction, Audiobook, Fantasy, Fiction, Other",12481,721,4.13,"{'5': '5,417', '4': '4,300', '3': '1,971', '2': '562', '1': '231'}",436
10024,3407877,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1547843777i/3407877.jpg,The Forgotten Garden,"A foundling, an old book of dark fairy tales, a secret garden, an aristocratic family, a love denied, and a mystery. The Forgotten Garden is a captivating, atmospheric and compulsively readable story of the past, secrets, family and memory from the international best-selling author Kate Morton.Cassandra is lost, alone and grieving. Her much loved grandmother, Nell, has just died and Cassandra, her life already shaken by a tragic accident ten years ago, feels like she has lost everything dear to her. But an unexpected and mysterious bequest from Nell turns Cassandra’s life upside down and ends up challenging everything she thought she knew about herself and her family.Inheriting a book of dark and intriguing fairytales written by Eliza Makepeace—the Victorian authoress who disappeared mysteriously in the early twentieth century—Cassandra takes her courage in both hands to follow in the footsteps of Nell on a quest to find out the truth about their history, their family and their past; little knowing that in the process, she will also discover a new life for herself.","['648 pages, Paperback']","['First published January 1, 2008']",https://www.goodreads.com/author/show/615274.Kate_Morton,Kate Morton,['648'],"Adult, Mystery, Historical, Historical Fiction, Romance, Fiction, Other",223551,20799,4.15,"{'5': '89,653', '4': '89,036', '3': '35,631', '2': '6,921', '1': '2,310'}",437
1973,27712,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554230952i/27712.jpg,The Neverending Story,"This epic work of the imagination has captured the hearts of millions of readers worldwide since it was first published. Its special story within a story is an irresistible invitation for readers to become part of the book itself. The story begins with a lonely boy named Bastian and the strange book that draws him into the beautiful but doomed world of Fantastica. Only a human can save this enchanted place by giving its ruler, the Childlike Empress, a new name. But the journey to her tower leads through lands of dragons, giants, monsters, and magic, and once Bastian begins his quest, he may never return. As he is drawn deeper into Fantastica, he must find the courage to face unspeakable foes and the mysteries of his own heart. Readers, too, can travel to the wondrous, unforgettable world of Fantastica if they will just turn the page...","['396 pages, Hardcover']","['First published September 1, 1979']",https://www.goodreads.com/author/show/15619.Michael_Ende,Michael Ende,['396'],"Childrens, Adventure, Classics, Young Adult, Fantasy, Fiction, Other",202294,9622,4.18,"{'5': '94,167', '4': '63,996', '3': '33,338', '2': '7,844', '1': '2,949'}",437
